Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5360.070529,5417.78633,4224.438787,3275.423184,2650.261176,2359.216402,2409.193306,2567.987404,2829.595094,3055.925307,3442.631932,3836.599591,4233.440064,4716.377612,5245.425251,6850.813019,9387.109349,11957.39117,13200.94071,14248.89246,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14555.79673,15041.25729,
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,615.0721012,652.5328462,659.8399258,621.0367308,599.5692084,555.3675293,514.0202756,509.3573907,534.0240256,529.2837024,527.0808747,537.3595435,554.9452616,541.7644683,565.0423505,569.2745852,598.5076762,615.2304987,636.3321807,644.1046373,663.0547952,681.9716213,690.6881405,740.9842308,777.0415572,841.6463572,796.9443873,773.5718584,780.0749372,784.9269887,
Belgium,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,18642.89392,19553.85806,20223.37968,20423.46243,21466.44544,22392.27232,22688.78553,23724.01023,24367.92397,25440.84119,27796.64607,28800.51705,30282.28865,30901.00319,32036.50123,33177.89095,35212.02356,36746.55137,37883.33194,37777.32783,39870.49487,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50596.6428,54330.28719,56348.51368,
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1259.572448,1312.125799,1334.477698,1396.083603,1405.70911,1472.633753,1516.003958,1581.943092,1614.63005,1675.2458,1759.719075,1837.804034,1895.00044,1936.88123,2015.637506,2052.528339,2135.262731,2258.491879,2347.922705,2353.634208,2364.118351,2416.327107,2498.497313,2669.689821,2833.411926,2886.831867,3004.809187,3044.513887,3237.773682,3432.7813,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,589.9523104,647.6499371,646.309275,666.2243169,670.8506655,704.4578702,774.6544865,814.7901791,859.7347986,910.5799498,921.9398916,976.1610427,1005.429745,1072.46739,1117.465432,1215.573711,1291.485516,1339.738401,1401.957727,1411.127528,1502.10347,1586.571556,1619.400012,1683.107411,1692.304397,1713.519379,1895.29222,2044.381874,2171.973966,2274.719736,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,850.5051452,888.9975109,937.5732226,983.4512804,1021.431098,1073.104394,1118.101078,1163.617345,1212.188254,1261.344658,1331.548512,1403.126294,1453.262159,1523.797422,1620.425018,1753.874608,1901.716525,2065.154846,2206.510325,2309.563606,2439.069677,2620.822484,2937.588452,3143.518357,3367.995525,3555.50551,3849.111431,4161.089713,4549.617646,4964.091389,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,7532.984171,7200.998255,6903.2174,7017.927475,7322.923425,7724.25711,6831.994244,5748.419342,6177.42266,5807.813965,6424.755754,6961.972768,7786.417002,8408.356022,9193.83106,10291.45339,11392.87662,12795.84125,14335.66902,14191.57151,14879.26701,15667.30812,16247.49048,16588.93335,17561.38213,18343.11078,20019.59128,21455.56436,23634.1734,25312.08023,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,26875.5967,30066.26308,31972.89073,36038.63154,35822.75739,37059.51522,38272.78837,39039.63475,40104.8451,40910.65311,42181.84258,42094.88315,41932.24131,42860.48222,44185.44503,45400.49528,46200.87689,47533.08858,47847.78695,46498.80417,46873.09888,47377.57244,50675.58204,51494.41172,51101.90053,45575.85002,44769.03371,47709.87381,47353.11838,47002.54934,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,21497.15541,20904.37894,20174.73122,20331.11835,21048.21647,22083.25182,23124.24596,23725.76532,24844.26485,26685.42725,28033.68447,28956.94952,29715.46096,29362.61408,29869.3684,31260.77335,32401.58849,33117.47054,32373.45884,30728.52384,31090.11409,31522.60503,32216.43197,31872.49,33154.00491,33423.70874,34154.25846,36297.30702,37921.31116,38742.54575,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,953.1882285,1208.592036,2365.466352,3258.300194,3810.756358,4226.684863,4549.329624,4751.161133,5136.527062,5373.58092,6201.107913,6479.664428,7404.110975,8186.580061,9028.801838,9035.281168,9355.442375,9976.454263,10304.07913,11016.53866,11433.22249,12010.71587,13072.11679,13797.79022,15387.58428,16288.83022,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5232.078293,5341.485262,4928.1088,4650.988237,4199.440345,3854.031976,4047.990731,4606.719591,5073.961929,5344.658213,5808.357426,6248.211382,6709.845503,7367.193779,8489.484087,9642.429793,10994.76674,12317.4565,13885.74672,14050.88031,15349.22813,16543.04373,18071.5056,18948.46847,18955.90703,18041.2425,17725.75218,18280.19892,19345.28019,19997.05776,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,3334.941777,3771.067533,4251.055123,4547.696556,4557.321797,4563.869874,4565.463015,4638.593885,4682.420215,4978.238346,5558.486449,5766.020231,5963.246212,6467.241001,6781.13341,6945.573759,7306.761966,7347.241952,7554.36672,7438.782181,7563.650165,7684.817622,7272.870015,7226.994831,7170.529464,7244.391078,7179.462319,7108.8667,7291.734632,7314.631992,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,34909.18025,34994.08227,36030.2417,37790.41905,38560.45122,40807.84221,42364.10153,44802.77624,46729.51337,48734.2254,53983.10777,58516.59075,58183.95312,60886.12131,63560.14278,66207.25487,71580.62207,75534.9776,75121.64813,71040.17368,70620.08068,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83404.2745,85417.62903,
