Country Name,Country Code,Indicator Name,Indicator Code,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,BEL,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,5.762819767,5.731040001,5.98883009,5.436339855,5.380350113,5.310639858,5.435319901,5.316730022,,,,4.852290154,4.577129841,4.300720215,,,,,5.372310162,5.411039829,2.988660097,3.049479961,,,,,,,,,5.795859814,,,6.332940102,6.458099842,6.442590237,6.431990147,,6.630529881,6.590469837,6.451570034,6.45953989,6.412280083,,,
Benin,BEN,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,2.747889996,1.921939969,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.933969975,,
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,1.679829955,,1.961799979,,,1.754480004,,1.763960004,,,1.426079988,,,,,,3.451100111,,1.440260053,,,,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.603469849,5.383790016,,
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,1.130929947,0.937600017,1.071499944,1.011639953,1.032670021,1.223029971,1.271180034,1.343490005,1.513640046,,,1.519119978,1.425660014,1.631770015,1.692620039,,,,1.952469945,,2.132819891,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.175499916,1.966160059,,,1.535539985,,,1.326320052,
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,3.52947998,,,,,,,,,,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,2.372070074,2.230079889,,2.739429951,,,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.682640076,4.222380161,4.27628994,3.882390022,3.566430092,3.49484992,4.074200153,,,,4.09250021,,,
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874409914,2.575000048,2.496779919,,,,2.645309925,2.476890087,2.467459917,2.668080091,,2.327810049,,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,2.232840061,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,6.000010014,6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.946549892,4.794990063,,,
Belize,BLZ,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,5.44343996,5.028429985,5.79708004,,5.24905014,5.33630991,,,,5.772630215,6.178120136,6.719810009,,,6.425360203,6.614729881,6.88888979,7.284770012,7.509890079,7.561490059,,
